year_month,year,month,source,count
2013-12,2013,12,sullivan,38
2013-12,2013,12,sunrun,33
2013-12,2013,12,titan,130
2014-01,2014,1,records,30
2014-01,2014,1,solarcity,48
2014-01,2014,1,sullivan,28
2014-01,2014,1,sunrun,28
2014-01,2014,1,titan,156
2014-02,2014,2,records,20
2014-02,2014,2,solarcity,35
2014-02,2014,2,sullivan,22
2014-02,2014,2,sunrun,19
2014-02,2014,2,titan,143
2014-03,2014,3,records,11
2014-03,2014,3,solarcity,33
2014-03,2014,3,sullivan,30
2014-03,2014,3,sunrun,18
2014-03,2014,3,titan,196
2014-04,2014,4,records,9
2014-04,2014,4,solarcity,43
2014-04,2014,4,sullivan,24
2014-04,2014,4,sunrun,25
2014-04,2014,4,titan,155
2014-05,2014,5,records,3
2014-05,2014,5,solarcity,54
2014-05,2014,5,sullivan,33
2014-05,2014,5,sunrun,22
2014-05,2014,5,titan,184
2014-06,2014,6,records,8
2014-06,2014,6,solarcity,67
2014-06,2014,6,sullivan,40
2014-06,2014,6,sunrun,45
2014-06,2014,6,titan,136
2014-07,2014,7,records,6
2014-07,2014,7,solarcity,72
2014-07,2014,7,sullivan,32
2014-07,2014,7,sunrun,57
2014-07,2014,7,titan,175
2014-08,2014,8,records,9
2014-08,2014,8,solarcity,57
2014-08,2014,8,sullivan,31
2014-08,2014,8,sunrun,55
2014-08,2014,8,titan,171
2014-09,2014,9,records,7
2014-09,2014,9,solarcity,90
2014-09,2014,9,sullivan,33
2014-09,2014,9,sunrun,69
2014-09,2014,9,titan,177
2014-10,2014,10,records,11
2014-10,2014,10,solarcity,77
2014-10,2014,10,sullivan,46
2014-10,2014,10,sunrun,65
2014-10,2014,10,titan,191
2014-11,2014,11,records,12
2014-11,2014,11,solarcity,49
2014-11,2014,11,sullivan,37
2014-11,2014,11,sunrun,44
2014-11,2014,11,titan,174
2014-12,2014,12,records,13
2014-12,2014,12,solarcity,46
2014-12,2014,12,sullivan,29
2014-12,2014,12,sunrun,66
2014-12,2014,12,titan,266
2015-01,2015,1,records,11
2015-01,2015,1,solarcity,46
2015-01,2015,1,sullivan,45
2015-01,2015,1,sunrun,62
2015-01,2015,1,titan,212
2015-02,2015,2,records,17
2015-02,2015,2,solarcity,48
2015-02,2015,2,sullivan,41
2015-02,2015,2,sunrun,65
2015-02,2015,2,titan,215
2015-03,2015,3,records,12
2015-03,2015,3,solarcity,49
2015-03,2015,3,sullivan,36
2015-03,2015,3,sunrun,62
2015-03,2015,3,titan,235
2015-04,2015,4,records,8
2015-04,2015,4,solarcity,66
2015-04,2015,4,sullivan,32
2015-04,2015,4,sunrun,76
2015-04,2015,4,titan,265
2015-05,2015,5,records,4
2015-05,2015,5,solarcity,65
2015-05,2015,5,sullivan,62
2015-05,2015,5,sunrun,54
2015-05,2015,5,titan,222
2015-06,2015,6,records,11
2015-06,2015,6,solarcity,69
2015-06,2015,6,sullivan,50
2015-06,2015,6,sunrun,83
2015-06,2015,6,titan,263
2015-07,2015,7,records,12
2015-07,2015,7,solarcity,58
2015-07,2015,7,sullivan,44
2015-07,2015,7,sunrun,69
2015-07,2015,7,titan,228
2015-08,2015,8,records,15
2015-08,2015,8,solarcity,88
2015-08,2015,8,sullivan,36
2015-08,2015,8,sunrun,117
2015-08,2015,8,titan,182
2015-09,2015,9,records,13
2015-09,2015,9,solarcity,81
2015-09,2015,9,sullivan,45
2015-09,2015,9,sunrun,125
2015-09,2015,9,titan,227
2015-10,2015,10,records,21
2015-10,2015,10,solarcity,80
2015-10,2015,10,sullivan,48
2015-10,2015,10,sunrun,202
2015-10,2015,10,titan,210
2015-11,2015,11,records,18
2015-11,2015,11,solarcity,60
2015-11,2015,11,sullivan,52
2015-11,2015,11,sunrun,155
2015-11,2015,11,titan,215
