CITY,permit_count,median_approval_days,median_total_days,mean_total_days,pct_approved_same_day,median_fee_usd,mean_fee_usd,median_job_value_usd,battery_installs,battery_pct,date_min,date_max,solar_only_median_days,solar_battery_median_days
LOS ANGELES,102,,30.0,154.0,0.0,,,,0,0.0,2014-08-11,2016-07-01,,
CHATSWORTH,6,,30.5,179.0,0.0,,,,0,0.0,2015-06-03,2015-11-12,,
HILMAR,14,0.5,33.5,42.1,50.0,387.28999999999996,388.02714285714285,,0,0.0,2014-03-20,2015-01-22,33.5,
SARATOGA,490,0.0,34.0,64.5,94.7,151.2,153.24554639175258,15000.0,44,9.0,2007-10-10,2020-09-02,30.0,51.0
COLTON,1,0.0,35.0,35.0,100.0,,,,0,0.0,2010-10-26,2010-10-26,35.0,
OCEANSIDE,22,0.0,37.5,431.2,100.0,201.84,209.27181818181816,,0,0.0,2014-05-12,2016-08-25,13.0,
NORTHRIDGE,2,,40.5,40.5,0.0,,,,0,0.0,2016-02-02,2016-05-23,,
RIVERSIDE,7,0.0,41.0,42.3,85.7,,,0.0,0,0.0,2009-11-16,2011-04-26,41.0,
ANAHEIM,1,41.0,41.0,41.0,0.0,647.78,647.78,,0,0.0,2014-07-10,2014-07-10,41.0,
WINCHESTER,5,0.0,42.0,47.4,100.0,,,,0,0.0,2010-04-14,2011-02-23,55.0,
MONTEREY PARK,42,9.0,42.0,232.8,14.3,500.0,528.4580952380953,3600.0,0,0.0,2011-12-21,2014-08-25,42.0,
MILL VALLEY,10,0.0,42.0,42.0,80.0,326.155,326.155,,6,60.0,2018-07-10,2021-08-31,41.0,53.0
CLOVIS,14,1.0,44.0,41.6,35.7,,,0.0,0,0.0,2011-09-13,2012-04-10,46.0,
SAN CARLOS,118,3.0,46.0,73.8,37.3,148.5,121.55593220338983,,0,0.0,2007-03-05,2011-11-21,48.0,
CORONA,8,0.0,47.0,46.2,75.0,,,0.0,0,0.0,2009-12-01,2018-04-27,48.0,
WINNETKA,5,,47.0,65.2,0.0,,,,0,0.0,2015-11-12,2016-04-28,,
LOS ALTOS,12,0.0,48.5,58.4,66.7,34.5,35.5,,0,0.0,2007-09-27,2014-10-31,,
TURLOCK,2,0.0,49.5,49.5,100.0,387.03,387.03,,0,0.0,2014-10-15,2014-11-03,49.5,
LOS ALTOS HILLS,100,1.5,50.5,87.6,42.0,2.0,38.12359550561798,,4,4.0,2007-03-27,2018-01-04,,
STUDIO CITY,1,,51.0,51.0,0.0,,,,0,0.0,2015-12-29,2015-12-29,,
BIG OAK FLAT,2,0.0,51.0,51.0,100.0,,,,0,0.0,2014-11-20,2017-12-18,51.0,
NUEVO,2,0.0,52.5,52.5,100.0,,,,0,0.0,2011-01-24,2011-03-24,52.5,
SYLMAR,2,,53.0,53.0,0.0,,,,0,0.0,2016-06-24,2016-06-27,,
HANFORD,6,7.5,55.5,52.2,0.0,,,,0,0.0,2008-03-27,2016-03-30,55.5,
SAN RAFAEL,11,0.0,56.0,83.3,54.5,,,,0,0.0,2008-03-11,2013-08-30,62.5,
SAN ANSELMO,158,13.0,58.0,97.7,6.3,249.105,256.7096835443038,,89,56.3,2014-10-08,2022-11-09,21.0,119.0
PACIFICA,2,0.0,58.0,58.0,100.0,0.0,0.0,,0,0.0,2007-10-10,2007-10-10,58.0,
BALLICO,5,0.0,58.0,114.6,80.0,387.25,387.536,,0,0.0,2014-04-30,2016-01-11,58.0,
CAMARILLO,4,58.0,58.0,53.0,0.0,430.4,436.92499999999995,0.0,0,0.0,2011-07-14,2011-11-02,58.0,
DELHI,54,0.0,60.0,82.4,51.9,386.96,372.65129629629627,,0,0.0,2014-01-07,2015-01-28,61.0,
DESERT HOT SPRINGS,1,0.0,63.0,63.0,100.0,,,,0,0.0,2011-01-24,2011-01-24,63.0,
ATHERTON,72,7.0,65.0,92.6,38.9,3.75,3.75,10000.0,0,0.0,2007-02-26,2014-11-07,66.0,
GARDEN GROVE,6,27.0,66.5,73.7,16.7,,,,0,0.0,2010-08-10,2012-02-13,66.5,
MURRIETA,5,0.0,68.0,68.6,100.0,,,,0,0.0,2010-05-18,2011-05-18,68.0,
TUJUNGA,2,,72.0,72.0,0.0,,,,0,0.0,2015-11-12,2015-11-12,,
PANORAMA CITY,1,,75.0,75.0,0.0,,,,0,0.0,2016-04-28,2016-04-28,,
SAN JUAN CAPISTRANO,16,22.5,75.0,81.4,25.0,,,24000.0,0,0.0,2008-09-17,2010-06-29,75.0,
HARBOR CITY,1,,76.0,76.0,0.0,,,,0,0.0,2016-01-06,2016-01-06,,
VENICE,1,,76.0,76.0,0.0,,,,0,0.0,2015-12-16,2015-12-16,,
BRENTWOOD,6,13.5,77.0,72.8,0.0,,,,0,0.0,2010-07-15,2018-01-04,77.0,
NOVATO,178,13.0,78.0,117.4,2.2,,,,102,57.3,2011-01-27,2022-12-15,57.0,95.0
TEMECULA,12,0.0,78.5,55.9,66.7,,,0.0,0,0.0,2010-07-21,2018-04-03,78.5,
WOODSIDE,42,28.0,84.5,107.7,4.8,0.0,22.61904761904762,,0,0.0,2007-03-05,2016-01-22,92.0,
DAVIS,18,0.0,84.5,101.2,88.9,,,,0,0.0,2012-09-07,2018-08-01,106.0,
PERRIS,2,0.0,88.0,88.0,100.0,,,,0,0.0,2010-11-01,2011-02-15,88.0,
VAN NUYS,5,,91.0,134.6,0.0,,,,0,0.0,2015-12-14,2016-02-02,,
NAPA,6,0.0,92.0,310.3,66.7,154.82,154.565,,0,0.0,2014-01-02,2016-06-22,,
KENWOOD,1,0.0,98.0,98.0,100.0,158.0,158.0,,1,100.0,2017-09-07,2017-09-07,,98.0
TORRANCE,3,0.0,99.0,120.7,33.3,85.9,85.9,,0,0.0,2015-08-31,2015-11-05,,
HALF MOON BAY,1,29.0,103.0,103.0,0.0,,,,0,0.0,2013-03-28,2013-03-28,,
HEALDSBURG,7,57.0,105.0,239.1,0.0,,,7000.0,3,42.9,2017-03-17,2020-01-23,44.5,
WOODLAND,10,0.0,106.0,95.6,60.0,,,,0,0.0,2007-11-20,2017-07-05,106.0,
EL MACERO,1,0.0,133.0,133.0,100.0,,,,1,100.0,2017-08-09,2017-08-09,,133.0
SHERMAN OAKS,2,,141.5,141.5,0.0,,,,0,0.0,2015-05-27,2015-11-03,,
COTATI,1,0.0,146.0,146.0,100.0,733.0,733.0,,0,0.0,2017-09-15,2017-09-15,146.0,
WOODACRE,2,18.5,154.0,154.0,0.0,,,,2,100.0,2021-02-26,2022-05-18,,100.0
SANTA NELLA,1,0.0,181.0,181.0,100.0,386.27,386.27,,0,0.0,2015-06-16,2015-06-16,181.0,
BOLINAS,1,29.0,230.0,230.0,0.0,148.0,148.0,,1,100.0,2020-05-29,2020-05-29,,230.0
SALINAS,1,30.0,243.0,243.0,0.0,389.91,389.91,15000.0,0,0.0,2013-04-13,2013-04-13,243.0,
GRANADA HILLS,3,,339.0,364.7,0.0,,,,0,0.0,2015-09-08,2015-12-14,,
GARDENA,3,,398.0,412.0,0.0,,,,0,0.0,2015-10-22,2015-10-22,,
PACOIMA,2,,435.5,435.5,0.0,,,,0,0.0,2015-07-24,2015-07-24,,
DANA POINT,10,0.0,441.5,676.2,100.0,,,,0,0.0,2014-10-20,2020-09-22,,
CRESSEY,1,5.0,1588.0,1588.0,0.0,463.1,463.1,,0,0.0,2014-09-03,2014-09-03,1588.0,
